GEO_NAME,% vaccinated,Low income,% visible minority,% manufacturing,% wholesale trade,% transportation and warehousing,% retail trade,% information and cultural industries,% construction,% education services,% health care and social services,% accommodation and food services,% english nor french,median individual income,average individual income,income - % in bottom decile,income - % in top decile,average age,median age,population,% commuting by car or truck as driver,% commuting by car or truck as passenger,% commuting by vehicle,% commuting by public transit,% commuting by walking,% commuting by bicycle,% commuting by other method,% leaving for work between 5am and 6am,% leaving for work between 6am and 7am,% leaving for work between 7am and 8am,% leaving for work between 8am and 9am,% leaving for work between 9am and 12pm,% leaving for work between 12pm and 5am,% first generation immigrants,% second generation immigrants,% third generation or more immigrants
L1B,0.33,0.055,0.06337135614702155,0.08532423208191127,0.029863481228668942,0.034129692832764506,0.10580204778156997,0.013651877133105802,0.0947098976109215,0.07593856655290103,0.12542662116040956,0.06313993174061433,0.001682085786375105,40030.0,50330.0,0.0344972654606647,0.11611274716028608,44.1,46.7,11977.0,0.8446215139442231,0.055776892430278883,0.055776892430278883,0.060756972111553786,0.030876494023904383,0.00199203187250996,0.00597609561752988,0.12139303482587065,0.21990049751243781,0.23482587064676616,0.16218905472636816,0.09950248756218906,0.16119402985074627,0.1512463033375581,0.20321081537811575,0.6451204055766794
L1C,0.22,0.075,0.07769917662066567,0.09100204498977506,0.030061349693251534,0.04703476482617587,0.10858895705521472,0.01881390593047035,0.09141104294478528,0.0785276073619632,0.12167689161554192,0.05848670756646217,0.00302185030218503,40920.0,49149.0,0.048859934853420196,0.08957654723127036,37.5,36.8,43531.0,0.8456674473067916,0.06393442622950819,0.06393442622950819,0.04496487119437939,0.03231850117096019,0.00234192037470726,0.01053864168618267,0.12271662763466042,0.21756440281030445,0.23723653395784544,0.15480093676814988,0.08688524590163935,0.18079625292740048,0.11017047431288415,0.19332019018902935,0.6965093354980865
L1E,0.23,0.049,0.1017485119047619,0.0946073793755913,0.03122043519394513,0.039735099337748346,0.10942920214443393,0.023651844843897825,0.08010091453800063,0.0848312835067802,0.12456638284452853,0.056133711762850834,0.0033339507316169662,44495.0,52044.0,0.03430372705358799,0.12905618394214724,37.5,37.8,27117.0,0.8504335260115607,0.053829479768786125,0.053829479768786125,0.07117052023121387,0.013728323699421965,0.002167630057803468,0.008670520231213872,0.11235549132947976,0.21278901734104047,0.24566473988439305,0.1759393063583815,0.08670520231213873,0.16726878612716764,0.15159970238095238,0.21223958333333334,0.6363467261904762
L1G,0.28,0.165,0.11887938514937399,0.08408183632734531,0.035179640718562874,0.053393213572854294,0.12425149700598802,0.02120758483033932,0.08233532934131736,0.07435129740518961,0.11302395209580839,0.07759481037924151,0.004225702212279393,32409.0,41228.0,0.12103818317943599,0.06251559770401798,44.6,46.3,41124.0,0.7612770943175161,0.06824838898652606,0.06824838898652606,0.10134739308728764,0.053309900410076154,0.004393673110720563,0.011716461628588167,0.0992679355783309,0.1882869692532943,0.21288433382137628,0.18799414348462665,0.10131771595900439,0.20995607613469985,0.1708405653359782,0.20084304487974214,0.6284403669724771
L1H,0.22,0.183,0.08731842663620043,0.10747217806041336,0.03942766295707472,0.06963434022257552,0.12337042925278219,0.02384737678855326,0.09697933227344992,0.05437201907790143,0.09348171701112877,0.07472178060413355,0.00548033526756931,30748.0,38890.0,0.13766823414950544,0.04670017836873683,42.7,44.3,31261.0,0.7737419598940598,0.06848278471433976,0.06848278471433976,0.10329171396140749,0.03745743473325766,0.0026485054861899358,0.01362088535754824,0.12036336109008328,0.20704012112036335,0.20060560181680545,0.14307342922028765,0.0987887963663891,0.23088569265707798,0.1426472988411947,0.19373265872368206,0.6636200424351232
L1J,0.22,0.16699999999999998,0.1261206687666586,0.10782241014799154,0.03617571059431524,0.062485318299271786,0.1343669250645995,0.02536997885835095,0.07728447263330984,0.062485318299271786,0.09913084331688983,0.07540521494009866,0.00470049415451368,31046.0,39985.0,0.12373371924746744,0.04811866859623734,41.4,42.2,41793.0,0.7515801044242924,0.08408903544929926,0.08408903544929926,0.10469909315746084,0.04589172849683979,0.004122011541632316,0.009618026930475405,0.11294311624072548,0.2074745809288266,0.20005496015388843,0.15526243473481727,0.11349271777960979,0.2104973893926903,0.15012722646310434,0.20126014782503332,0.6487337937719617
L1K,0.2,0.081,0.2504083427566277,0.09688743271706061,0.03604025274982448,0.0468055230517201,0.11397144863093846,0.02270067868008425,0.06810203604025275,0.090802714720337,0.12356658085654107,0.06014509712146033,0.009196271101033006,40738.0,49081.0,0.053168703540380495,0.08895048506992566,36.1,36.6,39697.0,0.8172451193058569,0.06399132321041215,0.06399132321041215,0.08324295010845988,0.026572668112798264,0.0021691973969631237,0.0067787418655097615,0.10330802603036876,0.199295010845987,0.24240780911062906,0.17190889370932755,0.08893709327548807,0.19414316702819956,0.2236180904522613,0.25113065326633166,0.525251256281407
L1L,0.13,0.09699999999999999,0.45099739809193407,0.06807131280388978,0.04213938411669368,0.03565640194489465,0.10210696920583469,0.03079416531604538,0.09886547811993517,0.08914100486223663,0.09724473257698542,0.05834683954619125,0.018292682926829267,39712.0,50614.0,0.07585004359197908,0.11333914559721012,33.6,33.0,5742.0,0.8236397748592871,0.06566604127579738,0.06566604127579738,0.09193245778611632,0.01125703564727955,0.0,0.0075046904315197,0.11069418386491557,0.19324577861163228,0.24202626641651032,0.2101313320825516,0.10318949343339587,0.14071294559099437,0.3613518197573657,0.29636048526863085,0.34228769497400346
L1M,0.21,0.036000000000000004,0.16035788024776323,0.07609630266552021,0.052020636285468616,0.024935511607910577,0.0941530524505589,0.027944969905417026,0.061908856405846945,0.1122098022355976,0.09630266552020636,0.03998280309544282,0.0038866026520347507,53983.0,65867.0,0.027917620137299773,0.18970251716247138,33.9,36.3,21878.0,0.8425037859666835,0.044926804644119134,0.044926804644119134,0.07975769813225643,0.023220595658758204,0.001514386673397274,0.008076728924785462,0.08076728924785462,0.20646138313982837,0.2937910146390712,0.20141342756183744,0.08934881373043917,0.1287228672387683,0.14911676990135353,0.2672631337462721,0.5836200963523744
L1N,0.28,0.092,0.1784414472275744,0.07442307692307693,0.03826923076923077,0.040192307692307694,0.11711538461538462,0.032115384615384615,0.07807692307692307,0.08634615384615385,0.09923076923076923,0.06076923076923077,0.005562092202374585,39064.0,49067.0,0.060970373550880204,0.12322885358522971,42.5,44.0,47572.0,0.7587905935050392,0.062038073908174694,0.062038073908174694,0.1328107502799552,0.03292273236282195,0.003807390817469205,0.009854423292273236,0.09473684210526316,0.1832026875699888,0.2528555431131019,0.18835386338185892,0.11466965285554312,0.16618141097424413,0.22179404838364375,0.2514450867052023,0.5269749518304432
