GEO_NAME,city,% vaccinated,Vaccination_Pharmacies,Vaccination_Sites_Per_100000,minority - % visible minority,minority - % not visible minority,minority - % south asian,minority - % chinese,minority - % black,minority - % filipino,minority - % latin american,minority - % arab,minority - % southeast asian,minority - % west asian,minority - % korean,minority - % japanese,industry - % manufacturing,industry - % wholesale trade,industry - % transportation and warehousing,industry - % retail trade,industry - % information and cultural industries,industry - % construction,industry - % education services,industry - % health care and social services,industry - % accommodation and food services,"industry - % mining, quarrying and oil and gas extraction",industry - % utilities,"industry - % agriculture, forestry, fishing and hunting",industry - % finance and insurance,industry - % real estate and rental and leasing,"industry - % professional, technical and scientific enterprises",industry - % management of companies and enterprises,"industry - % administrative, support, waste management and remediation services","industry - % arts, entertainment and recreation",industry - % other services (except public administration),industry - % public administration,% english nor french,median individual income,average individual income,income - % in bottom decile,income - % in top decile,average age,median age,population,% commuting by car or truck as driver,% commuting by car or truck as passenger,% commuting by vehicle,% commuting by public transit,% commuting by walking,% commuting by bicycle,% commuting by other method,% leaving for work between 5am and 6am,% leaving for work between 6am and 7am,% leaving for work between 7am and 8am,% leaving for work between 8am and 9am,% leaving for work between 9am and 12pm,% leaving for work between 12pm and 5am,% first generation immigrants,% second generation immigrants,% third generation or more immigrants
N8P,WINDSOR,0.3382,0.0,0.0,0.19705882352941176,0.803781512605042,0.028991596638655463,0.021848739495798318,0.025210084033613446,0.025210084033613446,0.008403361344537815,0.05588235294117647,0.007983193277310924,0.003781512605042017,0.0,0.0,0.2064570943075616,0.028037383177570093,0.05097706032285471,0.0875106202209006,0.0118946474086661,0.03143585386576041,0.09175870858113849,0.1469838572642311,0.06542056074766354,0.0,0.002548853016142736,0.00594732370433305,0.04248088360237893,0.009345794392523364,0.056074766355140186,0.0,0.03228547153780799,0.026338147833474938,0.04248088360237893,0.04248088360237893,0.012642225031605562,42202.0,53263.0,0.03753690425980599,0.1172501054407423,43.6,45.1,12195.0,0.9305135951661632,0.041289023162134945,0.041289023162134945,0.012084592145015106,0.006042296072507553,0.005035246727089627,0.005035246727089627,0.06646525679758308,0.2014098690835851,0.23061430010070494,0.21450151057401812,0.09566968781470292,0.1933534743202417,0.34229315413691724,0.25157496850063,0.40571188576228473
N8R,WINDSOR,0.2696,0.0,0.0,0.2413509060955519,0.7582372322899505,0.04736408566721582,0.011532125205930808,0.05313014827018122,0.024299835255354202,0.015650741350906095,0.05889621087314662,0.005354200988467875,0.002883031301482702,0.0,0.0008237232289950577,0.21807628524046435,0.02570480928689884,0.04560530679933665,0.11442786069651742,0.008291873963515755,0.04809286898839138,0.05140961857379768,0.1384742951907131,0.07877280265339967,0.001658374792703151,0.0024875621890547263,0.005804311774461028,0.03565505804311774,0.007462686567164179,0.04311774461028192,0.0,0.04560530679933665,0.02736318407960199,0.04311774461028192,0.03233830845771144,0.017820140903439703,33591.0,39146.0,0.06713634479900539,0.05180273518441774,40.2,40.6,12085.0,0.8833017077798861,0.0635673624288425,0.0635673624288425,0.023719165085388995,0.018026565464895637,0.004743833017077799,0.006641366223908918,0.05977229601518026,0.20588235294117646,0.2125237191650854,0.18216318785578747,0.09962049335863378,0.2409867172675522,0.3407498969921714,0.2130201895344046,0.446229913473424
N8S,WINDSOR,0.3581,1.0,4.58,0.10359116022099447,0.8961786372007366,0.010128913443830571,0.01427255985267035,0.02716390423572744,0.0108195211786372,0.013121546961325966,0.01289134438305709,0.004143646408839779,0.004373848987108656,0.0,0.0,0.2096997690531178,0.029099307159353348,0.04157043879907621,0.09699769053117784,0.013394919168591224,0.050808314087759814,0.0766743648960739,0.1302540415704388,0.06327944572748267,0.0013856812933025404,0.002771362586605081,0.004618937644341801,0.03325635103926097,0.020785219399538105,0.052655889145496536,0.0,0.04249422632794457,0.023094688221709007,0.03926096997690531,0.03926096997690531,0.0071100917431192664,35656.0,45446.0,0.09084652443220922,0.06997017664601973,44.7,46.6,21819.0,0.8670953912111469,0.04930332261521972,0.04930332261521972,0.04072883172561629,0.021436227224008574,0.00964630225080386,0.011254019292604502,0.05894962486602358,0.18060021436227225,0.2379421221864952,0.19506966773847803,0.1007502679528403,0.2266881028938907,0.18374395579092792,0.20469721390743725,0.6117890858853328
N8T,WINDSOR,0.2639,6.0,33.98,0.22628999711732486,0.7737100028826751,0.03488036898241568,0.004900547708273278,0.07869703084462382,0.007494955318535601,0.01153070049005477,0.06197751513404439,0.0051888152205246466,0.0051888152205246466,0.0011530700490054772,0.0,0.2193808882907133,0.024226110363391656,0.05383580080753701,0.12180349932705249,0.007402422611036339,0.059219380888290714,0.04374158815612382,0.09892328398384927,0.0908479138627187,0.0013458950201884253,0.002018842530282638,0.011440107671601614,0.02826379542395693,0.008748317631224764,0.033647375504710635,0.0,0.06191117092866756,0.01816958277254374,0.039703903095558546,0.02489905787348587,0.02936145952109464,26329.0,33105.0,0.2149985742800114,0.023952095808383235,41.1,41.6,17658.0,0.8068362480127186,0.07869634340222575,0.07869634340222575,0.05405405405405406,0.03179650238473768,0.015103338632750398,0.015103338632750398,0.08187599364069953,0.1820349761526232,0.20985691573926868,0.1494435612082671,0.10174880763116058,0.2766295707472178,0.27406340057636885,0.20144092219020174,0.5244956772334294
N8W,WINDSOR,0.2789,1.0,4.2,0.19893617021276597,0.8008510638297872,0.01446808510638298,0.008085106382978723,0.03404255319148936,0.01978723404255319,0.01276595744680851,0.07382978723404256,0.01851063829787234,0.005957446808510639,0.000425531914893617,0.000851063829787234,0.21698872785829307,0.022946859903381644,0.050724637681159424,0.11191626409017713,0.013285024154589372,0.04911433172302738,0.0571658615136876,0.12117552334943639,0.08816425120772947,0.002012882447665056,0.00322061191626409,0.005233494363929146,0.0249597423510467,0.00966183574879227,0.046296296296296294,0.0008051529790660225,0.04710144927536232,0.028985507246376812,0.040257648953301126,0.0322061191626409,0.013030685161832704,33257.0,39368.0,0.09035124841303428,0.046762589928057555,40.5,41.2,23796.0,0.8410138248847926,0.06175115207373272,0.06175115207373272,0.033640552995391704,0.03917050691244239,0.013364055299539171,0.01152073732718894,0.05757715338553662,0.19438046982957163,0.22432058959005066,0.17779824965453708,0.10594196222938738,0.23952095808383234,0.2240902319642477,0.21472653756118323,0.5613960417110023
N8X,WINDSOR,0.2804,6.0,38.52,0.23353876094712941,0.7664612390528706,0.012325656827765165,0.012974375608173857,0.0671423937722997,0.013947453778786896,0.02335387609471294,0.07265650340577359,0.019461563412260786,0.0019461563412260785,0.0006487187804086928,0.0,0.19333768778576094,0.016329196603527107,0.043762246897452645,0.10907903331156107,0.011757021554539516,0.056172436316133244,0.04310907903331156,0.11169170476812541,0.10711952971913782,0.0013063357282821686,0.005225342913128674,0.007838014369693011,0.025473546701502287,0.014369693011103853,0.04441541476159373,0.0,0.06988896146309602,0.02155453951665578,0.045721750489875895,0.02612671456564337,0.026869537067011978,25617.0,32870.0,0.19198174706649282,0.026401564537157758,40.5,40.3,15575.0,0.7554347826086957,0.08385093167701864,0.08385093167701864,0.06832298136645963,0.059006211180124224,0.02096273291925466,0.012422360248447204,0.07220496894409938,0.1777950310559006,0.19798136645962733,0.17003105590062112,0.1063664596273292,0.2748447204968944,0.288355497891664,0.21277975997405124,0.4988647421342848
N8Y,WINDSOR,0.3245,5.0,26.41,0.1293836344314559,0.8708820403825718,0.0077045696068012755,0.004250797024442083,0.05127523910733262,0.0071732199787460146,0.009564293304994687,0.02948990435706695,0.004516471838469713,0.003188097768331562,0.0018597236981934113,0.0005313496280552603,0.18715995647442873,0.023394994559303592,0.046245919477693145,0.10391730141458107,0.017410228509249184,0.051142546245919476,0.04842219804134929,0.1191512513601741,0.09194776931447225,0.002720348204570185,0.001632208922742111,0.006528835690968444,0.027747551686615888,0.01088139281828074,0.04298150163220892,0.001632208922742111,0.0690968443960827,0.04026115342763874,0.04298150163220892,0.028291621327529923,0.011445302102741549,29793.0,38177.0,0.16228540772532188,0.043991416309012876,42.8,43.0,18935.0,0.7615384615384615,0.075,0.075,0.0685897435897436,0.06025641025641026,0.022435897435897436,0.01282051282051282,0.06282051282051282,0.18974358974358974,0.19487179487179487,0.16987179487179488,0.11474358974358974,0.26794871794871794,0.17242295430393198,0.1902231668437832,0.6376195536663124
N9A,WINDSOR,0.2532,5.0,19.87,0.369317002283579,0.630682997716421,0.021382603280049824,0.044633589370977785,0.07120614490346688,0.01307867967614698,0.014947062487025119,0.1436578783475192,0.025534565082001245,0.00954951214448827,0.0018683828108781398,0.00041519618019514223,0.15939922480620156,0.02422480620155039,0.036337209302325583,0.10610465116279069,0.013565891472868217,0.046027131782945735,0.054748062015503876,0.09689922480620156,0.10319767441860465,0.0009689922480620155,0.0029069767441860465,0.01744186046511628,0.026647286821705425,0.020348837209302327,0.04844961240310078,0.0,0.08236434108527131,0.03682170542635659,0.040697674418604654,0.020833333333333332,0.07505112474437628,19842.0,28877.0,0.33381712626995647,0.02819821687746216,42.1,41.7,25160.0,0.6568154402895054,0.08383594692400483,0.08383594692400483,0.10735826296743065,0.1158021712907117,0.022919179734620022,0.012665862484921592,0.06819553409776705,0.14725407362703682,0.18044659022329512,0.18527459263729631,0.13820156910078454,0.2812311406155703,0.3857172514012871,0.19451941042142412,0.4197633381772888
N9B,WINDSOR,0.2269,2.0,11.23,0.49901436215150663,0.5007040270346381,0.11546043368065334,0.09152351450295691,0.07152914671923402,0.01520698394818361,0.01239087580963109,0.1292593635595607,0.036609405801182764,0.007040270346381301,0.000563221627710504,0.0016896648831315122,0.17202141900937082,0.020080321285140562,0.0428380187416332,0.09906291834002677,0.014056224899598393,0.041499330655957165,0.08902275769745649,0.10307898259705489,0.09370816599732262,0.0013386880856760374,0.004016064257028112,0.011378848728246318,0.022757697456492636,0.009370816599732263,0.04350736278447122,0.0,0.08299866131191433,0.030120481927710843,0.04350736278447122,0.0321285140562249,0.03175049171115482,20138.0,28196.0,0.2983984265243046,0.03484124754144423,36.1,31.5,17804.0,0.7255734919286321,0.07391673746813934,0.07391673746813934,0.10790144435004248,0.0637213254035684,0.018691588785046728,0.008496176720475786,0.0713678844519966,0.16142735768903993,0.1937128292268479,0.18861512319456245,0.13423959218351741,0.2506372132540357,0.42776682624612783,0.2126161644607153,0.3596170092931569
N9C,WINDSOR,0.2402,2.0,17.42,0.3670661340434976,0.6333777185974256,0.09098979138925876,0.0461606746560142,0.09365290723479805,0.012427873945849977,0.017310252996005325,0.0723479804704838,0.00887705281846427,0.005326231691078562,0.000887705281846427,0.0,0.18814968814968816,0.02182952182952183,0.0498960498960499,0.09355509355509356,0.014553014553014554,0.036382536382536385,0.060291060291060294,0.09875259875259876,0.12058212058212059,0.0031185031185031187,0.005197505197505198,0.01975051975051975,0.015592515592515593,0.013513513513513514,0.0395010395010395,0.002079002079002079,0.07172557172557173,0.034303534303534305,0.04054054054054054,0.017671517671517672,0.0210989010989011,20646.0,26934.0,0.3393645189761695,0.015445719329214475,37.9,34.4,11484.0,0.7100893997445722,0.09961685823754789,0.09961685823754789,0.09195402298850575,0.06896551724137931,0.016602809706257982,0.0140485312899106,0.07918263090676884,0.17369093231162197,0.16219667943805874,0.15197956577266922,0.10600255427841634,0.3269476372924649,0.3251996450754215,0.18189884649511978,0.49290150842945873
N9E,WINDSOR,0.3067,3.0,14.5,0.29162633107454017,0.7086156824782188,0.06921587608906099,0.07913843175217812,0.01573088092933204,0.00968054211035818,0.002420135527589545,0.07623426911907066,0.01936108422071636,0.009196515004840271,0.0026621490803484995,0.0,0.18102613746369797,0.028073572120038724,0.03291384317521781,0.11035818005808325,0.011616650532429816,0.03436592449177154,0.1021297192642788,0.1234269119070668,0.07696030977734754,0.001936108422071636,0.0062923523717328175,0.007744433688286544,0.032429816069699906,0.01452081316553727,0.06776379477250725,0.001452081316553727,0.02516940948693127,0.027105517909002903,0.03920619554695063,0.046466602129719266,0.019849915274751877,37418.0,49723.0,0.06390704429920116,0.1355603969983055,42.0,43.6,20688.0,0.8982951205173427,0.05761316872427984,0.05761316872427984,0.01646090534979424,0.015285126396237508,0.007054673721340388,0.005291005291005291,0.048206937095825984,0.15990593768371547,0.23809523809523808,0.2175191064079953,0.13051146384479717,0.20634920634920634,0.31720300024195497,0.2676022259859666,0.4151947737720784
N9G,WINDSOR,0.2635,1.0,5.05,0.38927738927738925,0.6107226107226107,0.11344211344211344,0.06475006475006476,0.03108003108003108,0.014245014245014245,0.012173012173012173,0.09401709401709402,0.023310023310023312,0.008806008806008805,0.006734006734006734,0.001813001813001813,0.17990531299316148,0.029458179905312992,0.04734350341925302,0.0920568122041031,0.013150973172014729,0.04208311415044713,0.0967911625460284,0.13203577064702787,0.07154129405576012,0.0026301946344029457,0.0052603892688058915,0.008942661756970016,0.03577064702788006,0.013677012098895318,0.07627564439768543,0.0,0.026301946344029457,0.019989479221462388,0.03682272488164124,0.03945291951604419,0.027061855670103094,36102.0,49563.0,0.07283566614826335,0.13659927423535512,40.1,41.0,19787.0,0.9147135416666666,0.050130208333333336,0.050130208333333336,0.012369791666666666,0.009114583333333334,0.005208333333333333,0.008463541666666666,0.04296875,0.15690104166666666,0.24739583333333334,0.23958333333333334,0.11263020833333333,0.19986979166666666,0.39083139083139085,0.2895622895622896,0.31960631960631963
N9H,WINDSOR,0.3674,3.0,29.33,0.1968503937007874,0.8026574803149606,0.06200787401574803,0.02214566929133858,0.028051181102362203,0.011811023622047244,0.005905511811023622,0.04625984251968504,0.0,0.005905511811023622,0.0044291338582677165,0.0,0.17361784675072744,0.02521823472356935,0.03297769156159069,0.11639185257032007,0.009699321047526674,0.04558680892337536,0.10281280310378274,0.14936954413191075,0.05722599418040737,0.0019398642095053346,0.005819592628516004,0.006789524733268671,0.03491755577109602,0.01842870999030068,0.06498545101842872,0.002909796314258002,0.029097963142580018,0.027158098933074686,0.02424830261881668,0.04267701260911736,0.009295499021526418,41030.0,55620.0,0.039136979427997994,0.2007024586051179,42.9,45.1,10227.0,0.9024390243902439,0.06155632984901278,0.06155632984901278,0.008130081300813009,0.015098722415795587,0.004645760743321719,0.008130081300813009,0.041811846689895474,0.17421602787456447,0.2450638792102207,0.23693379790940766,0.09988385598141696,0.20209059233449478,0.2603346456692913,0.2800196850393701,0.45866141732283466
N9J,WINDSOR,0.3379,2.0,10.33,0.08923476005188068,0.9102464332036316,0.013748378728923476,0.024902723735408562,0.01530479896238651,0.005706874189364461,0.0036316472114137485,0.014526588845654994,0.0005188067444876783,0.0028534370946822307,0.0023346303501945525,0.0,0.19990723562152132,0.025974025974025976,0.032467532467532464,0.09230055658627087,0.00927643784786642,0.054267161410018555,0.09461966604823747,0.13682745825602968,0.05890538033395176,0.00463821892393321,0.007884972170686457,0.003246753246753247,0.045454545454545456,0.010667903525046383,0.054267161410018555,0.0018552875695732839,0.03200371057513915,0.03432282003710575,0.03293135435992579,0.054267161410018555,0.005426356589147287,45012.0,57191.0,0.030256012412723042,0.19110421515386605,39.0,41.2,19358.0,0.9303728070175439,0.044956140350877194,0.044956140350877194,0.004934210526315789,0.01206140350877193,0.003289473684210526,0.004934210526315789,0.048793859649122806,0.19572368421052633,0.2807017543859649,0.19956140350877194,0.09265350877192982,0.18201754385964913,0.14085603112840467,0.22153047989623864,0.6376134889753566
